rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
8,Canada,Boeing 777-200,Boeing 777-200,Business,Business,Business Class,Toronto to London Heathrow,Toronto to London Heathrow,01-09-2017,4,5,3,4,4,-1
9,United Kingdom,A320,A320,Family Leisure,Family Leisure,Business Class,London Heathrow to Zakinthos,London Heathrow to Zakinthos,01-08-2017,4,5,4,5,5,2
8,United Kingdom,A380,A380,Family Leisure,Family Leisure,Economy Class,London to Vancouver,London to Vancouver,01-08-2017,3,5,3,4,3,4
6,United Kingdom,Boeing 777-200ER,Boeing 777-200ER,Business,Business,Economy Class,London to Sao Paulo,London to Sao Paulo,01-08-2017,2,4,2,5,4,4
1,United Kingdom,Unknown,,Business,Business,Business Class,Istanbul to London,Istanbul to London,01-08-2017,1,3,1,2,1,-1
1,United Kingdom,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Business Class,Bangkok to London,Bangkok to London,01-09-2017,4,1,1,4,1,2
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Rome to London,Rome to London,01-09-2017,1,2,-1,1,1,-1
3,United Kingdom,Boeing 747-400,Boeing 747-400,Couple Leisure,Couple Leisure,Business Class,London to Cape Town,London to Cape Town,01-08-2017,2,2,2,1,2,1
4,United Kingdom,A319,A319,Business,Business,Economy Class,London to Milan,London to Milan,01-08-2017,3,1,1,3,2,-1
5,United Kingdom,A321,A321,Business,Business,Economy Class,London Heathrow to Bucharest,London Heathrow to Bucharest,01-08-2017,2,4,2,3,2,1
7,United Kingdom,A321,A321,Couple Leisure,Couple Leisure,Economy Class,London to Bologna,London to Bologna,01-08-2017,4,4,2,4,4,1
8,United Kingdom,A320,A320,Business,Business,Business Class,London Heathrow to Keflavik,London Heathrow to Keflavik,01-08-2017,3,5,4,4,4,1
2,United Kingdom,A320,A320,Family Leisure,Family Leisure,Economy Class,Larnaca to London Heathrow,Larnaca to London Heathrow,01-08-2017,3,1,2,4,2,-1
9,Costa Rica,Unknown,,Solo Leisure,Solo Leisure,Economy Class,San Jose to Gatwick,San Jose to Gatwick,01-08-2017,4,5,4,5,5,3
1,China,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Keflavik,London to Keflavik,01-07-2017,1,1,-1,1,1,-1
